iter	Passed	Remaining
552	21839	1856
553	21879	1816
554	21917	1777
555	21957	1737
556	21994	1697
557	22030	1658
558	22068	1618
559	22105	1578
560	22145	1539
561	22194	1500
562	22245	1461
563	22286	1422
564	22344	1384
565	22380	1344
566	22419	1304
567	22453	1264
568	22491	1225
569	22525	1185
570	22564	1145
571	22601	1106
572	22639	1066
573	22679	1027
574	22716	987
575	22752	948
576	22789	908
577	22825	868
578	22860	829
579	22894	789
580	22933	749
581	22971	710
582	23012	671
583	23042	631
584	23076	591
585	23113	552
586	23149	512
587	23185	473
588	23234	433
589	23291	394
590	23330	355
591	23373	315
592	23416	276
593	23457	236
594	23501	197
595	23537	157
596	23572	118
597	23609	78
598	23654	39
599	23699	0
